id,date,calories
1624580081,4/29/2016,1404
1644430081,4/29/2016,2498
1844505072,4/29/2016,1856
1927972279,4/29/2016,2063
2022484408,4/29/2016,2611
2026352035,4/29/2016,1692
2320127002,4/29/2016,1410
2347167796,4/29/2016,403
2873212765,4/29/2016,1780
3372868164,4/29/2016,2044
3977333714,4/29/2016,1545
4020332650,4/29/2016,1980
4319703577,4/29/2016,2175
4388161847,4/29/2016,2979
4445114986,4/29/2016,2196
4558609924,4/29/2016,1918
4702921684,4/29/2016,3165
5553957443,4/29/2016,2169
5577150313,4/29/2016,3544
6117666160,4/29/2016,2560
6290855005,4/29/2016,2060
6775888955,4/29/2016,1841
6962181067,4/29/2016,2254
7007744171,4/29/2016,3180
7086361926,4/29/2016,2616
8053475328,4/29/2016,2794
8253242879,4/29/2016,1854
8378563200,4/29/2016,2982
8583815059,4/29/2016,3513
8792009665,4/29/2016,3101
8877689391,4/29/2016,2698
1503960366,4/30/2016,1947
1624580081,4/30/2016,1655
1644430081,4/30/2016,3846
1844505072,4/30/2016,1763
1927972279,4/30/2016,2064
2022484408,4/30/2016,2732
2026352035,4/30/2016,1506
2320127002,4/30/2016,1779
2873212765,4/30/2016,1830
3372868164,4/30/2016,1946
3977333714,4/30/2016,1650
4020332650,4/30/2016,1980
4319703577,4/30/2016,2092
4388161847,4/30/2016,3283
4445114986,4/30/2016,2363
4558609924,4/30/2016,2105
4702921684,4/30/2016,3115
5553957443,4/30/2016,1463
5577150313,4/30/2016,4501
6117666160,4/30/2016,2275
6290855005,4/30/2016,2843
6775888955,4/30/2016,2280
6962181067,4/30/2016,2002
7007744171,4/30/2016,2051
7086361926,4/30/2016,2995
8053475328,4/30/2016,2408
8253242879,4/30/2016,0
8378563200,4/30/2016,2660
8583815059,4/30/2016,3164
8792009665,4/30/2016,2896
8877689391,4/30/2016,4398
1503960366,5/1/2016,1820
1624580081,5/1/2016,2690
1644430081,5/1/2016,2696
1844505072,5/1/2016,1541
1927972279,5/1/2016,2411
2022484408,5/1/2016,2380
2026352035,5/1/2016,1447
2320127002,5/1/2016,1403
2873212765,5/1/2016,1739
3372868164,5/1/2016,1237
3977333714,5/1/2016,1501
4020332650,5/1/2016,1980
4319703577,5/1/2016,1593
4388161847,5/1/2016,2926
4445114986,5/1/2016,2246
4558609924,5/1/2016,1692
4702921684,5/1/2016,2017
5553957443,5/1/2016,1747
5577150313,5/1/2016,4546
6117666160,5/1/2016,2361
6290855005,5/1/2016,3327
6775888955,5/1/2016,2319
6962181067,5/1/2016,1740
7007744171,5/1/2016,2225
7086361926,5/1/2016,2730
8053475328,5/1/2016,1886
8378563200,5/1/2016,3369
8583815059,5/1/2016,2596
8792009665,5/1/2016,1962
8877689391,5/1/2016,2786
1503960366,5/2/2016,2004
1624580081,5/2/2016,1497
1644430081,5/2/2016,2580
1844505072,5/2/2016,1348
1927972279,5/2/2016,2505
2022484408,5/2/2016,2473
2026352035,5/2/2016,1690
2320127002,5/2/2016,1613
2873212765,5/2/2016,1878
3977333714,5/2/2016,1760
