id,date,step_total
6962181067,4/21/2016,11835
7007744171,4/21/2016,13744
7086361926,4/21/2016,9469
8053475328,4/21/2016,16057
8253242879,4/21/2016,11268
8378563200,4/21/2016,15148
8583815059,4/21/2016,8538
8792009665,4/21/2016,144
8877689391,4/21/2016,19377
1503960366,4/22/2016,12764
1624580081,4/22/2016,4026
1644430081,4/22/2016,3673
1844505072,4/22/2016,5372
1927972279,4/22/2016,149
2022484408,4/22/2016,12954
2026352035,4/22/2016,2915
2320127002,4/22/2016,5583
2347167796,4/22/2016,7804
2873212765,4/22/2016,7286
3372868164,4/22/2016,3843
3977333714,4/22/2016,8911
4020332650,4/22/2016,0
4319703577,4/22/2016,4500
4388161847,4/22/2016,12139
4445114986,4/22/2016,6831
4558609924,4/22/2016,9601
4702921684,4/22/2016,1664
5553957443,4/22/2016,11682
5577150313,4/22/2016,9172
6117666160,4/22/2016,8206
6290855005,4/22/2016,6238
6775888955,4/22/2016,637
6962181067,4/22/2016,10725
7007744171,4/22/2016,15299
7086361926,4/22/2016,9753
8053475328,4/22/2016,10520
8253242879,4/22/2016,2824
8378563200,4/22/2016,12200
8583815059,4/22/2016,8687
8792009665,4/22/2016,4068
8877689391,4/22/2016,18258
1503960366,4/23/2016,14371
1624580081,4/23/2016,8538
1644430081,4/23/2016,6637
1844505072,4/23/2016,3570
1927972279,4/23/2016,2945
2022484408,4/23/2016,6001
2026352035,4/23/2016,12357
2320127002,4/23/2016,5079
2347167796,4/23/2016,16901
2873212765,4/23/2016,9317
3372868164,4/23/2016,7396
3977333714,4/23/2016,12058
4020332650,4/23/2016,0
4319703577,4/23/2016,4935
4388161847,4/23/2016,13236
4445114986,4/23/2016,4363
4558609924,4/23/2016,6890
4702921684,4/23/2016,15126
5553957443,4/23/2016,4112
5577150313,4/23/2016,7638
6117666160,4/23/2016,11495
6290855005,4/23/2016,0
6775888955,4/23/2016,0
6962181067,4/23/2016,20031
7007744171,4/23/2016,8093
7086361926,4/23/2016,2817
8053475328,4/23/2016,22359
8253242879,4/23/2016,9282
8378563200,4/23/2016,5709
8583815059,4/23/2016,9423
8792009665,4/23/2016,5245
8877689391,4/23/2016,11200
